family,twinno,earning,schyear,highqua,twihigh,age,LNandSE,part,full,self,married,own_exp,bweight,exp_par,parted,sm16,sm18
146,2,17.7815,13,15,15,55,0,1,0,0,1,19,92,4,4,0,0
147,1,6.4903846,11,16,12,40,0,0,1,0,0,,102,,4,0,0
147,2,1.3736264,11,12,12,40,0,0,0,,1,18,96,28,,0,0
148,1,6.4102564,11,14,12,55,0,0,1,0,0,30,116,,,0,1
148,2,5.4945054,11,12,14,55,0,0,1,0,1,10,108,20,7,0,0
149,1,5.4573803,10,11,12,56,0,0,1,0,1,6,100,45,4,0,0
149,2,8.333333,10,11,11,56,0,1,0,0,1,15,96,7,,1,1
150,1,4,11,11,10,42,0,1,0,0,0,3,106,,,1,1
150,2,3.4693878,11,12,12,42,0,0,1,0,0,1,104,,,1,1
151,1,11.057693,11,12,12,31,1,0,1,0,0,13,90,,,0,0
151,2,9.8076925,11,12,12,31,1,0,1,0,0,18,88,,,0,0
152,1,6.7873302,13,11,11,56,0,0,1,0,1,17,52,26,1,0,0
152,2,6.7567568,10,11,11,56,0,0,1,0,1,20,48,8,4,0,0
153,1,11.948718,11,17,12,41,0,1,0,0,1,1,86,23,8,1,1
153,2,15.384615,11,12,17,41,0,0,1,0,0,15,104,7,,0,1
154,1,6.4102564,11,12,12,38,0,0,0,0,1,2,109,4,6,0,0
154,2,4.5673075,11,12,12,38,0,0,1,0,0,,97,36,,0,0
155,1,5.25,13,12,12,42,0,0,0,0,1,11,81,23,4,0,0
155,2,5.25,13,12,12,42,0,1,0,0,1,7,83,15,4,0,0
156,1,7.8499999,11,12,12,52,1,0,1,0,0,14,52,,,0,0
156,2,8.7837839,11,12,12,52,1,0,1,0,1,12,67,25,7,0,1
157,1,6,12,12,12,59,0,0,0,1,1,8,,5,,0,0
157,2,10.833333,11,12,12,59,0,1,0,0,1,22,,3,3,0,0
158,1,8.5470085,10,10,10,47,1,0,1,0,0,11,64,1,1,1,1
158,2,16.52,10,16,10,47,1,1,0,0,1,2,71,14,4,1,1
159,1,27.692308,18,17,17,51,0,1,0,0,1,17,90,23,7,0,1
159,2,8.0817308,18,17,17,51,0,0,1,0,1,,104,,7,0,0
160,1,7.6923075,14,12,12,49,0,0,0,1,1,32,66,30,8,0,0
160,2,6.7567568,12,12,12,49,0,1,0,0,1,,,,,0,1
161,1,6.438127,12,12,12,51,0,1,0,0,1,11,56,33,4,0,0
161,2,4.6373148,12,15,15,51,0,1,0,0,1,15,32,24,4,0,0
162,1,7.6403327,10,12,16,52,0,1,0,0,1,13,112,5,6,1,1
162,2,16.826923,10,10,10,52,0,0,1,0,1,11,99,,,1,1
163,1,7.0356474,13,16,16,47,1,0,1,0,0,1,100,,,0,1
163,2,5.0332031,13,16,16,47,1,1,0,0,1,1,102,21,7,0,0
164,1,13.157895,11,15,15,47,0,0,1,0,0,30,62,,,0,0
164,2,13.157895,11,15,15,47,0,0,1,0,0,30,,,,0,0
165,1,14.423077,15,17,12,51,1,0,0,0,0,17,112,,,1,1
165,2,10.096154,11,12,17,51,1,0,1,0,0,20,123,,,0,1
166,1,4.8076925,11,17,12,54,1,0,0,1,1,5,52,,4,0,0
166,2,5.7692308,11,11,16,54,1,1,0,0,1,14,39,,8,0,0
167,1,8.9743586,10,16,17,51,1,0,1,0,1,9,,6,4,0,0
167,2,13.370193,24,17,16,51,1,0,1,0,0,12,,12,4,0,0
